block,flat_type,unit_no,floor,stack,status,size,cost
105B,4-Room,#09-46,09,46,available,94 Sqm,"$487,000"
105B,4-Room,#10-46,10,46,available,94 Sqm,"$488,400"
105B,4-Room,#11-46,11,46,available,94 Sqm,"$489,800"
105B,4-Room,#12-46,12,46,booked,,
105B,4-Room,#13-46,13,46,available,94 Sqm,"$492,600"
105B,4-Room,#14-46,14,46,available,94 Sqm,"$494,000"
105B,4-Room,#15-46,15,46,available,94 Sqm,"$495,400"
105B,4-Room,#16-46,16,46,available,94 Sqm,"$496,800"
105B,4-Room,#17-46,17,46,available,94 Sqm,"$496,800"
105B,4-Room,#04-48,04,48,available,94 Sqm,"$462,100"
105B,4-Room,#05-48,05,48,available,94 Sqm,"$466,600"
105B,4-Room,#06-48,06,48,available,94 Sqm,"$478,600"
105B,4-Room,#07-48,07,48,available,94 Sqm,"$482,100"
105B,4-Room,#08-48,08,48,available,94 Sqm,"$485,600"
105B,4-Room,#09-48,09,48,available,94 Sqm,"$487,000"
105B,4-Room,#10-48,10,48,available,94 Sqm,"$488,400"
105B,4-Room,#11-48,11,48,available,94 Sqm,"$489,800"
105B,4-Room,#12-48,12,48,available,94 Sqm,"$491,200"
105B,4-Room,#13-48,13,48,available,94 Sqm,"$492,600"
105B,4-Room,#14-48,14,48,available,94 Sqm,"$494,000"
105B,4-Room,#15-48,15,48,available,94 Sqm,"$495,400"
105B,4-Room,#16-48,16,48,available,94 Sqm,"$496,800"
105B,4-Room,#17-48,17,48,available,94 Sqm,"$496,800"
105B,4-Room,#05-50,05,50,available,94 Sqm,"$475,100"
105B,4-Room,#06-50,06,50,available,94 Sqm,"$478,600"
105B,4-Room,#07-50,07,50,available,94 Sqm,"$482,100"
105B,4-Room,#08-50,08,50,available,94 Sqm,"$489,900"
105B,4-Room,#09-50,09,50,available,94 Sqm,"$495,500"
105B,4-Room,#10-50,10,50,available,94 Sqm,"$496,900"
105B,4-Room,#11-50,11,50,booked,,
105B,4-Room,#12-50,12,50,booked,,
105B,4-Room,#13-50,13,50,booked,,
105B,4-Room,#14-50,14,50,booked,,
105B,4-Room,#15-50,15,50,booked,,
105B,4-Room,#16-50,16,50,booked,,
105B,4-Room,#17-50,17,50,booked,,
105B,4-Room,#05-52,05,52,available,94 Sqm,"$475,100"
105B,4-Room,#06-52,06,52,booked,,
105B,4-Room,#07-52,07,52,available,94 Sqm,"$482,100"
105B,4-Room,#08-52,08,52,booked,,
105B,4-Room,#09-52,09,52,booked,,
105B,4-Room,#10-52,10,52,booked,,
105B,4-Room,#11-52,11,52,booked,,
105B,4-Room,#12-52,12,52,booked,,
105B,4-Room,#13-52,13,52,booked,,
105B,4-Room,#14-52,14,52,booked,,
105B,4-Room,#15-52,15,52,booked,,
105B,4-Room,#16-52,16,52,booked,,
105B,4-Room,#17-52,17,52,booked,,
105B,5-Room,#02-44,02,44,booked,,
105B,5-Room,#03-44,03,44,booked,,
105B,5-Room,#04-44,04,44,booked,,
105B,5-Room,#05-44,05,44,booked,,
105B,5-Room,#06-44,06,44,booked,,
105B,5-Room,#07-44,07,44,booked,,
105B,5-Room,#02-54,02,54,booked,,
105B,5-Room,#03-54,03,54,booked,,
105B,5-Room,#04-54,04,54,booked,,
105B,5-Room,#05-54,05,54,booked,,
105B,5-Room,#06-54,06,54,booked,,
105B,5-Room,#07-54,07,54,booked,,
105B,5-Room,#08-54,08,54,booked,,
105B,5-Room,#09-54,09,54,booked,,
105B,5-Room,#10-54,10,54,booked,,
105B,5-Room,#11-54,11,54,booked,,
105B,5-Room,#12-54,12,54,booked,,
105B,5-Room,#13-54,13,54,booked,,
105B,5-Room,#14-54,14,54,booked,,
105B,5-Room,#15-54,15,54,booked,,
105B,5-Room,#16-54,16,54,booked,,
105B,5-Room,#17-54,17,54,booked,,
105B,5-Room,#02-56,02,56,booked,,
105B,5-Room,#03-56,03,56,booked,,
105B,5-Room,#04-56,04,56,booked,,
105B,5-Room,#05-56,05,56,booked,,
105B,5-Room,#06-56,06,56,booked,,
105B,5-Room,#07-56,07,56,booked,,
105B,5-Room,#08-56,08,56,booked,,
105B,5-Room,#09-56,09,56,booked,,
105B,5-Room,#10-56,10,56,booked,,
105B,5-Room,#11-56,11,56,booked,,
105B,5-Room,#12-56,12,56,booked,,
105B,5-Room,#13-56,13,56,booked,,
105B,5-Room,#14-56,14,56,booked,,
105B,5-Room,#15-56,15,56,booked,,
105B,5-Room,#16-56,16,56,booked,,
105B,5-Room,#17-56,17,56,booked,,
106A,4-Room,#03-26,03,26,available,94 Sqm,"$457,600"
106A,4-Room,#04-26,04,26,available,94 Sqm,"$462,100"
106A,4-Room,#05-26,05,26,available,94 Sqm,"$475,100"
106A,4-Room,#06-26,06,26,available,94 Sqm,"$478,600"
106A,4-Room,#07-26,07,26,available,94 Sqm,"$482,100"
106A,4-Room,#08-26,08,26,available,94 Sqm,"$485,600"
106A,4-Room,#09-26,09,26,available,94 Sqm,"$487,000"
106A,4-Room,#10-26,10,26,available,94 Sqm,"$488,400"
106A,4-Room,#11-26,11,26,available,94 Sqm,"$489,800"
106A,4-Room,#12-26,12,26,available,94 Sqm,"$491,200"
106A,4-Room,#13-26,13,26,available,94 Sqm,"$492,600"
106A,4-Room,#14-26,14,26,available,94 Sqm,"$494,000"
106A,4-Room,#15-26,15,26,available,94 Sqm,"$495,400"
106A,4-Room,#16-26,16,26,available,94 Sqm,"$496,800"
106A,4-Room,#17-26,17,26,available,94 Sqm,"$496,800"
106A,4-Room,#03-28,03,28,available,94 Sqm,"$457,600"
106A,4-Room,#04-28,04,28,available,94 Sqm,"$462,100"
106A,4-Room,#05-28,05,28,available,94 Sqm,"$475,100"
106A,4-Room,#06-28,06,28,available,94 Sqm,"$478,600"
106A,4-Room,#07-28,07,28,available,94 Sqm,"$482,100"
106A,4-Room,#08-28,08,28,available,94 Sqm,"$485,600"
106A,4-Room,#09-28,09,28,available,94 Sqm,"$487,000"
106A,4-Room,#10-28,10,28,available,94 Sqm,"$488,400"
106A,4-Room,#11-28,11,28,available,94 Sqm,"$489,800"
106A,4-Room,#12-28,12,28,available,94 Sqm,"$491,200"
106A,4-Room,#13-28,13,28,available,94 Sqm,"$492,600"
106A,4-Room,#14-28,14,28,available,94 Sqm,"$494,000"
106A,4-Room,#15-28,15,28,available,94 Sqm,"$495,400"
106A,4-Room,#16-28,16,28,available,94 Sqm,"$496,800"
106A,4-Room,#17-28,17,28,available,94 Sqm,"$496,800"
106A,4-Room,#02-30,02,30,available,94 Sqm,"$444,600"
106A,4-Room,#03-30,03,30,available,94 Sqm,"$457,600"
106A,4-Room,#04-30,04,30,available,94 Sqm,"$466,400"
106A,4-Room,#05-30,05,30,available,94 Sqm,"$483,600"
106A,4-Room,#06-30,06,30,available,94 Sqm,"$487,100"
106A,4-Room,#07-30,07,30,available,94 Sqm,"$490,600"
106A,4-Room,#08-30,08,30,booked,,
106A,4-Room,#09-30,09,30,booked,,
106A,4-Room,#10-30,10,30,booked,,
106A,4-Room,#11-30,11,30,booked,,
106A,4-Room,#12-30,12,30,booked,,
106A,4-Room,#13-30,13,30,booked,,
106A,4-Room,#14-30,14,30,booked,,
106A,4-Room,#15-30,15,30,booked,,
106A,4-Room,#16-30,16,30,booked,,
106A,4-Room,#17-30,17,30,booked,,
106A,4-Room,#02-32,02,32,available,94 Sqm,"$453,100"
106A,4-Room,#03-32,03,32,available,94 Sqm,"$466,100"
106A,4-Room,#04-32,04,32,available,94 Sqm,"$474,900"
106A,4-Room,#05-32,05,32,available,94 Sqm,"$483,600"
106A,4-Room,#06-32,06,32,available,94 Sqm,"$487,100"
106A,4-Room,#07-32,07,32,available,94 Sqm,"$490,600"
106A,4-Room,#08-32,08,32,available,94 Sqm,"$494,100"
106A,4-Room,#09-32,09,32,available,94 Sqm,"$495,500"
106A,4-Room,#10-32,10,32,available,94 Sqm,"$496,900"
106A,4-Room,#11-32,11,32,available,94 Sqm,"$498,300"
106A,4-Room,#12-32,12,32,available,94 Sqm,"$499,700"
106A,4-Room,#13-32,13,32,available,94 Sqm,"$501,100"
106A,4-Room,#14-32,14,32,available,94 Sqm,"$502,500"
106A,4-Room,#15-32,15,32,available,94 Sqm,"$503,900"
106A,4-Room,#16-32,16,32,available,94 Sqm,"$505,300"
106A,4-Room,#17-32,17,32,available,94 Sqm,"$505,300"
106A,5-Room,#03-20,03,20,booked,,
106A,5-Room,#04-20,04,20,booked,,
106A,5-Room,#05-20,05,20,booked,,
106A,5-Room,#06-20,06,20,booked,,
106A,5-Room,#07-20,07,20,booked,,
106A,5-Room,#08-20,08,20,booked,,
106A,5-Room,#09-20,09,20,booked,,
106A,5-Room,#10-20,10,20,booked,,
106A,5-Room,#11-20,11,20,booked,,
106A,5-Room,#12-20,12,20,booked,,
106A,5-Room,#13-20,13,20,booked,,
106A,5-Room,#14-20,14,20,booked,,
106A,5-Room,#15-20,15,20,booked,,
106A,5-Room,#16-20,16,20,booked,,
106A,5-Room,#17-20,17,20,booked,,
106A,5-Room,#03-22,03,22,booked,,
106A,5-Room,#04-22,04,22,booked,,
106A,5-Room,#05-22,05,22,booked,,
106A,5-Room,#06-22,06,22,booked,,
106A,5-Room,#07-22,07,22,booked,,
106A,5-Room,#08-22,08,22,booked,,
106A,5-Room,#09-22,09,22,booked,,
106A,5-Room,#10-22,10,22,booked,,
106A,5-Room,#11-22,11,22,booked,,
106A,5-Room,#12-22,12,22,booked,,
106A,5-Room,#13-22,13,22,booked,,
106A,5-Room,#14-22,14,22,booked,,
106A,5-Room,#15-22,15,22,booked,,
106A,5-Room,#16-22,16,22,booked,,
106A,5-Room,#17-22,17,22,booked,,
106A,5-Room,#03-24,03,24,booked,,
106A,5-Room,#04-24,04,24,booked,,
106A,5-Room,#05-24,05,24,booked,,
106A,5-Room,#06-24,06,24,booked,,
106A,5-Room,#07-24,07,24,booked,,
106A,5-Room,#08-24,08,24,booked,,
106A,5-Room,#09-24,09,24,booked,,
106A,5-Room,#10-24,10,24,booked,,
106A,5-Room,#11-24,11,24,booked,,
106A,5-Room,#12-24,12,24,booked,,
106A,5-Room,#13-24,13,24,booked,,
106A,5-Room,#14-24,14,24,booked,,
106A,5-Room,#15-24,15,24,booked,,
106A,5-Room,#16-24,16,24,booked,,
106A,5-Room,#17-24,17,24,booked,,
106B,4-Room,#02-58,02,58,available,94 Sqm,"$453,100"
106B,4-Room,#03-58,03,58,available,94 Sqm,"$457,600"
106B,4-Room,#04-58,04,58,available,94 Sqm,"$462,100"
106B,4-Room,#05-58,05,58,available,94 Sqm,"$475,100"
106B,4-Room,#06-58,06,58,available,94 Sqm,"$478,600"
106B,4-Room,#07-58,07,58,available,94 Sqm,"$482,100"
106B,4-Room,#08-58,08,58,available,94 Sqm,"$489,900"
106B,4-Room,#09-58,09,58,available,94 Sqm,"$495,500"
106B,4-Room,#10-58,10,58,available,94 Sqm,"$496,900"
106B,4-Room,#11-58,11,58,available,94 Sqm,"$498,300"
106B,4-Room,#12-58,12,58,available,94 Sqm,"$499,700"
106B,4-Room,#13-58,13,58,available,94 Sqm,"$501,100"
106B,4-Room,#14-58,14,58,available,94 Sqm,"$502,500"
106B,4-Room,#15-58,15,58,booked,,
106B,4-Room,#16-58,16,58,available,94 Sqm,"$513,900"
106B,4-Room,#17-58,17,58,booked,,
106B,4-Room,#05-60,05,60,available,94 Sqm,"$475,100"
106B,4-Room,#06-60,06,60,available,94 Sqm,"$478,600"
106B,4-Room,#07-60,07,60,available,94 Sqm,"$482,100"
106B,4-Room,#08-60,08,60,available,94 Sqm,"$489,900"
106B,4-Room,#09-60,09,60,booked,,
106B,4-Room,#10-60,10,60,booked,,
106B,4-Room,#11-60,11,60,booked,,
106B,4-Room,#12-60,12,60,booked,,
106B,4-Room,#13-60,13,60,booked,,
106B,4-Room,#14-60,14,60,booked,,
106B,4-Room,#15-60,15,60,booked,,
106B,4-Room,#16-60,16,60,booked,,
106B,4-Room,#17-60,17,60,booked,,
106B,4-Room,#05-62,05,62,available,94 Sqm,"$475,100"
106B,4-Room,#06-62,06,62,available,94 Sqm,"$478,600"
106B,4-Room,#07-62,07,62,available,94 Sqm,"$482,100"
106B,4-Room,#08-62,08,62,available,94 Sqm,"$489,900"
106B,4-Room,#09-62,09,62,available,94 Sqm,"$495,500"
106B,4-Room,#10-62,10,62,available,94 Sqm,"$496,900"
106B,4-Room,#11-62,11,62,available,94 Sqm,"$498,300"
106B,4-Room,#12-62,12,62,available,94 Sqm,"$499,700"
106B,4-Room,#13-62,13,62,available,94 Sqm,"$501,100"
106B,4-Room,#14-62,14,62,available,94 Sqm,"$502,500"
106B,4-Room,#15-62,15,62,available,94 Sqm,"$503,900"
106B,4-Room,#16-62,16,62,available,94 Sqm,"$505,300"
106B,4-Room,#17-62,17,62,booked,,
106B,4-Room,#05-64,05,64,available,94 Sqm,"$475,100"
106B,4-Room,#06-64,06,64,available,94 Sqm,"$478,600"
106B,4-Room,#07-64,07,64,available,94 Sqm,"$482,100"
106B,4-Room,#08-64,08,64,available,94 Sqm,"$489,900"
106B,4-Room,#09-64,09,64,available,94 Sqm,"$495,500"
106B,4-Room,#10-64,10,64,available,94 Sqm,"$496,900"
106B,4-Room,#11-64,11,64,available,94 Sqm,"$498,300"
106B,4-Room,#12-64,12,64,available,94 Sqm,"$499,700"
106B,4-Room,#13-64,13,64,available,94 Sqm,"$501,100"
106B,4-Room,#14-64,14,64,available,94 Sqm,"$502,500"
106B,4-Room,#15-64,15,64,available,94 Sqm,"$503,900"
106B,4-Room,#16-64,16,64,available,94 Sqm,"$505,300"
106B,4-Room,#17-64,17,64,available,94 Sqm,"$505,300"
106B,5-Room,#02-66,02,66,booked,,
106B,5-Room,#03-66,03,66,booked,,
106B,5-Room,#04-66,04,66,booked,,
106B,5-Room,#05-66,05,66,booked,,
106B,5-Room,#06-66,06,66,booked,,
106B,5-Room,#07-66,07,66,booked,,
106B,5-Room,#08-66,08,66,booked,,
106B,5-Room,#09-66,09,66,booked,,
106B,5-Room,#10-66,10,66,booked,,
106B,5-Room,#11-66,11,66,booked,,
106B,5-Room,#12-66,12,66,booked,,
106B,5-Room,#13-66,13,66,booked,,
106B,5-Room,#14-66,14,66,booked,,
106B,5-Room,#15-66,15,66,booked,,
106B,5-Room,#16-66,16,66,booked,,
106B,5-Room,#17-66,17,66,booked,,
106B,5-Room,#02-68,02,68,booked,,
106B,5-Room,#03-68,03,68,booked,,
106B,5-Room,#04-68,04,68,booked,,
106B,5-Room,#05-68,05,68,booked,,
106B,5-Room,#06-68,06,68,booked,,
106B,5-Room,#07-68,07,68,booked,,
106B,5-Room,#08-68,08,68,booked,,
106B,5-Room,#09-68,09,68,booked,,
106B,5-Room,#10-68,10,68,booked,,
106B,5-Room,#11-68,11,68,booked,,
106B,5-Room,#12-68,12,68,booked,,
106B,5-Room,#13-68,13,68,booked,,
106B,5-Room,#14-68,14,68,booked,,
106B,5-Room,#15-68,15,68,booked,,
106B,5-Room,#16-68,16,68,booked,,
106B,5-Room,#17-68,17,68,booked,,
115A,3-Room,#06-25,06,25,available,68 Sqm,"$344,900"
115A,3-Room,#07-25,07,25,available,68 Sqm,"$347,400"
115A,3-Room,#08-25,08,25,booked,,
115A,3-Room,#09-25,09,25,booked,,
115A,3-Room,#10-25,10,25,booked,,
115A,3-Room,#11-25,11,25,booked,,
115A,3-Room,#12-25,12,25,booked,,
115A,3-Room,#13-25,13,25,booked,,
115A,3-Room,#14-25,14,25,booked,,
115A,3-Room,#15-25,15,25,booked,,
115A,3-Room,#16-25,16,25,booked,,
115A,3-Room,#17-25,17,25,booked,,
115A,3-Room,#06-27,06,27,available,68 Sqm,"$338,700"
115A,3-Room,#07-27,07,27,available,68 Sqm,"$341,200"
115A,3-Room,#08-27,08,27,available,68 Sqm,"$343,700"
115A,3-Room,#09-27,09,27,available,68 Sqm,"$344,700"
115A,3-Room,#10-27,10,27,available,68 Sqm,"$345,700"
115A,3-Room,#11-27,11,27,available,68 Sqm,"$346,700"
115A,3-Room,#12-27,12,27,available,68 Sqm,"$347,700"
115A,3-Room,#13-27,13,27,available,68 Sqm,"$348,700"
115A,3-Room,#14-27,14,27,available,68 Sqm,"$349,700"
115A,3-Room,#15-27,15,27,available,68 Sqm,"$350,700"
115A,3-Room,#16-27,16,27,available,68 Sqm,"$351,700"
115A,3-Room,#17-27,17,27,booked,,
115A,3-Room,#06-33,06,33,available,68 Sqm,"$338,700"
115A,3-Room,#07-33,07,33,available,68 Sqm,"$341,200"
115A,3-Room,#08-33,08,33,available,68 Sqm,"$343,700"
115A,3-Room,#09-33,09,33,available,68 Sqm,"$344,700"
115A,3-Room,#10-33,10,33,available,68 Sqm,"$345,700"
115A,3-Room,#11-33,11,33,available,68 Sqm,"$346,700"
115A,3-Room,#12-33,12,33,booked,,
115A,3-Room,#13-33,13,33,available,68 Sqm,"$348,700"
115A,3-Room,#14-33,14,33,available,68 Sqm,"$349,700"
115A,3-Room,#15-33,15,33,available,68 Sqm,"$350,700"
115A,3-Room,#16-33,16,33,available,68 Sqm,"$351,700"
115A,3-Room,#17-33,17,33,booked,,
115A,3-Room,#06-35,06,35,available,68 Sqm,"$344,900"
115A,3-Room,#07-35,07,35,available,68 Sqm,"$347,400"
115A,3-Room,#08-35,08,35,available,68 Sqm,"$349,900"
115A,3-Room,#09-35,09,35,booked,,
115A,3-Room,#10-35,10,35,available,68 Sqm,"$351,900"
115A,3-Room,#11-35,11,35,available,68 Sqm,"$352,900"
115A,3-Room,#12-35,12,35,available,68 Sqm,"$353,900"
115A,3-Room,#13-35,13,35,booked,,
115A,3-Room,#14-35,14,35,booked,,
115A,3-Room,#15-35,15,35,booked,,
115A,3-Room,#16-35,16,35,booked,,
115A,3-Room,#17-35,17,35,booked,,
115A,4-Room,#06-21,06,21,available,93 Sqm,"$505,400"
115A,4-Room,#07-21,07,21,available,93 Sqm,"$508,900"
115A,4-Room,#08-21,08,21,available,93 Sqm,"$512,400"
115A,4-Room,#09-21,09,21,booked,,
115A,4-Room,#10-21,10,21,available,93 Sqm,"$515,200"
115A,4-Room,#11-21,11,21,available,93 Sqm,"$516,600"
115A,4-Room,#12-21,12,21,available,93 Sqm,"$518,000"
115A,4-Room,#13-21,13,21,available,93 Sqm,"$519,400"
115A,4-Room,#14-21,14,21,booked,,
115A,4-Room,#15-21,15,21,available,93 Sqm,"$522,200"
115A,4-Room,#16-21,16,21,booked,,
115A,4-Room,#17-21,17,21,available,93 Sqm,"$523,600"
115A,4-Room,#06-23,06,23,available,93 Sqm,"$505,400"
115A,4-Room,#07-23,07,23,available,93 Sqm,"$508,900"
115A,4-Room,#08-23,08,23,available,93 Sqm,"$512,400"
115A,4-Room,#09-23,09,23,available,93 Sqm,"$513,800"
115A,4-Room,#10-23,10,23,available,93 Sqm,"$515,200"
115A,4-Room,#11-23,11,23,booked,,
115A,4-Room,#12-23,12,23,available,93 Sqm,"$518,000"
115A,4-Room,#13-23,13,23,available,93 Sqm,"$519,400"
115A,4-Room,#14-23,14,23,available,93 Sqm,"$520,800"
115A,4-Room,#15-23,15,23,booked,,
115A,4-Room,#16-23,16,23,available,93 Sqm,"$523,600"
115A,4-Room,#17-23,17,23,available,93 Sqm,"$523,600"
115A,4-Room,#06-29,06,29,available,93 Sqm,"$496,400"
115A,4-Room,#07-29,07,29,available,93 Sqm,"$499,900"
115A,4-Room,#08-29,08,29,available,93 Sqm,"$503,400"
115A,4-Room,#09-29,09,29,available,93 Sqm,"$504,800"
115A,4-Room,#10-29,10,29,available,93 Sqm,"$506,200"
115A,4-Room,#11-29,11,29,available,93 Sqm,"$507,600"
115A,4-Room,#12-29,12,29,available,93 Sqm,"$509,000"
115A,4-Room,#13-29,13,29,available,93 Sqm,"$510,400"
115A,4-Room,#14-29,14,29,available,93 Sqm,"$511,800"
115A,4-Room,#15-29,15,29,available,93 Sqm,"$513,200"
115A,4-Room,#16-29,16,29,available,93 Sqm,"$514,600"
115A,4-Room,#17-29,17,29,available,93 Sqm,"$514,600"
115A,4-Room,#06-31,06,31,available,93 Sqm,"$496,400"
115A,4-Room,#07-31,07,31,available,93 Sqm,"$499,900"
115A,4-Room,#08-31,08,31,available,93 Sqm,"$503,400"
115A,4-Room,#09-31,09,31,available,93 Sqm,"$504,800"
115A,4-Room,#10-31,10,31,available,93 Sqm,"$506,200"
115A,4-Room,#11-31,11,31,available,93 Sqm,"$507,600"
115A,4-Room,#12-31,12,31,available,93 Sqm,"$509,000"
115A,4-Room,#13-31,13,31,available,93 Sqm,"$510,400"
115A,4-Room,#14-31,14,31,available,93 Sqm,"$511,800"
115A,4-Room,#15-31,15,31,available,93 Sqm,"$513,200"
115A,4-Room,#16-31,16,31,available,93 Sqm,"$514,600"
115A,4-Room,#17-31,17,31,available,93 Sqm,"$514,600"
115C,3-Room,#06-37,06,37,booked,,
115C,3-Room,#07-37,07,37,available,68 Sqm,"$347,400"
115C,3-Room,#08-37,08,37,booked,,
115C,3-Room,#09-37,09,37,available,68 Sqm,"$350,900"
115C,3-Room,#10-37,10,37,available,68 Sqm,"$351,900"
115C,3-Room,#11-37,11,37,booked,,
115C,3-Room,#12-37,12,37,booked,,
115C,3-Room,#13-37,13,37,booked,,
115C,3-Room,#14-37,14,37,available,68 Sqm,"$355,900"
115C,3-Room,#15-37,15,37,booked,,
115C,3-Room,#16-37,16,37,booked,,
115C,3-Room,#17-37,17,37,booked,,
115C,3-Room,#06-39,06,39,booked,,
115C,3-Room,#07-39,07,39,booked,,
115C,3-Room,#08-39,08,39,booked,,
115C,3-Room,#09-39,09,39,booked,,
115C,3-Room,#10-39,10,39,booked,,
115C,3-Room,#11-39,11,39,booked,,
115C,3-Room,#12-39,12,39,booked,,
115C,3-Room,#13-39,13,39,booked,,
115C,3-Room,#14-39,14,39,booked,,
115C,3-Room,#15-39,15,39,booked,,
115C,3-Room,#16-39,16,39,booked,,
115C,3-Room,#17-39,17,39,booked,,
115C,3-Room,#06-45,06,45,booked,,
115C,3-Room,#07-45,07,45,booked,,
115C,3-Room,#08-45,08,45,booked,,
115C,3-Room,#09-45,09,45,booked,,
115C,3-Room,#10-45,10,45,booked,,
115C,3-Room,#11-45,11,45,booked,,
115C,3-Room,#12-45,12,45,booked,,
115C,3-Room,#13-45,13,45,booked,,
115C,3-Room,#14-45,14,45,booked,,
115C,3-Room,#15-45,15,45,booked,,
115C,3-Room,#16-45,16,45,booked,,
115C,3-Room,#17-45,17,45,booked,,
115C,3-Room,#06-47,06,47,available,68 Sqm,"$344,900"
115C,3-Room,#07-47,07,47,available,68 Sqm,"$347,400"
115C,3-Room,#08-47,08,47,booked,,
115C,3-Room,#09-47,09,47,available,68 Sqm,"$350,900"
115C,3-Room,#10-47,10,47,available,68 Sqm,"$351,900"
115C,3-Room,#11-47,11,47,available,68 Sqm,"$352,900"
115C,3-Room,#12-47,12,47,available,68 Sqm,"$353,900"
115C,3-Room,#13-47,13,47,available,68 Sqm,"$354,900"
115C,3-Room,#14-47,14,47,available,68 Sqm,"$355,900"
115C,3-Room,#15-47,15,47,available,68 Sqm,"$356,900"
115C,3-Room,#16-47,16,47,available,68 Sqm,"$357,900"
115C,3-Room,#17-47,17,47,available,68 Sqm,"$357,900"
115C,4-Room,#06-41,06,41,booked,,
115C,4-Room,#07-41,07,41,booked,,
115C,4-Room,#08-41,08,41,booked,,
115C,4-Room,#09-41,09,41,booked,,
115C,4-Room,#10-41,10,41,booked,,
115C,4-Room,#11-41,11,41,booked,,
115C,4-Room,#12-41,12,41,booked,,
115C,4-Room,#13-41,13,41,booked,,
115C,4-Room,#14-41,14,41,booked,,
115C,4-Room,#15-41,15,41,booked,,
115C,4-Room,#16-41,16,41,booked,,
115C,4-Room,#17-41,17,41,booked,,
115C,4-Room,#06-43,06,43,booked,,
115C,4-Room,#07-43,07,43,booked,,
115C,4-Room,#08-43,08,43,booked,,
115C,4-Room,#09-43,09,43,booked,,
115C,4-Room,#10-43,10,43,booked,,
115C,4-Room,#11-43,11,43,booked,,
115C,4-Room,#12-43,12,43,booked,,
115C,4-Room,#13-43,13,43,booked,,
115C,4-Room,#14-43,14,43,booked,,
115C,4-Room,#15-43,15,43,booked,,
115C,4-Room,#16-43,16,43,booked,,
115C,4-Room,#17-43,17,43,booked,,
115C,4-Room,#06-49,06,49,available,93 Sqm,"$505,400"
115C,4-Room,#07-49,07,49,available,93 Sqm,"$508,900"
115C,4-Room,#08-49,08,49,booked,,
115C,4-Room,#09-49,09,49,available,93 Sqm,"$513,800"
115C,4-Room,#10-49,10,49,available,93 Sqm,"$515,200"
115C,4-Room,#11-49,11,49,available,93 Sqm,"$516,600"
115C,4-Room,#12-49,12,49,available,93 Sqm,"$518,000"
115C,4-Room,#13-49,13,49,available,93 Sqm,"$519,400"
115C,4-Room,#14-49,14,49,available,93 Sqm,"$520,800"
115C,4-Room,#15-49,15,49,available,93 Sqm,"$522,200"
115C,4-Room,#16-49,16,49,available,93 Sqm,"$523,600"
115C,4-Room,#17-49,17,49,available,93 Sqm,"$523,600"
115C,4-Room,#06-51,06,51,available,93 Sqm,"$505,400"
115C,4-Room,#07-51,07,51,available,93 Sqm,"$508,900"
115C,4-Room,#08-51,08,51,available,93 Sqm,"$512,400"
115C,4-Room,#09-51,09,51,available,93 Sqm,"$513,800"
115C,4-Room,#10-51,10,51,available,93 Sqm,"$515,200"
115C,4-Room,#11-51,11,51,available,93 Sqm,"$516,600"
115C,4-Room,#12-51,12,51,booked,,
115C,4-Room,#13-51,13,51,available,93 Sqm,"$519,400"
115C,4-Room,#14-51,14,51,available,93 Sqm,"$520,800"
115C,4-Room,#15-51,15,51,available,93 Sqm,"$522,200"
115C,4-Room,#16-51,16,51,booked,,
115C,4-Room,#17-51,17,51,available,93 Sqm,"$523,600"
118A,3-Room,#01-53,01,53,available,68 Sqm,"$317,800"
118A,3-Room,#02-53,02,53,available,68 Sqm,"$327,200"
118A,3-Room,#03-53,03,53,available,68 Sqm,"$330,200"
118A,3-Room,#04-53,04,53,available,68 Sqm,"$333,200"
118A,3-Room,#05-53,05,53,available,68 Sqm,"$336,200"
118A,3-Room,#06-53,06,53,available,68 Sqm,"$338,700"
118A,3-Room,#07-53,07,53,available,68 Sqm,"$341,200"
118A,3-Room,#08-53,08,53,available,68 Sqm,"$343,700"
118A,3-Room,#09-53,09,53,available,68 Sqm,"$344,700"
118A,3-Room,#10-53,10,53,available,68 Sqm,"$345,700"
118A,3-Room,#11-53,11,53,available,68 Sqm,"$346,700"
118A,3-Room,#12-53,12,53,booked,,
118A,3-Room,#13-53,13,53,available,68 Sqm,"$348,700"
118A,3-Room,#14-53,14,53,available,68 Sqm,"$349,700"
118A,3-Room,#15-53,15,53,available,68 Sqm,"$350,700"
118A,3-Room,#16-53,16,53,booked,,
118A,3-Room,#17-53,17,53,available,68 Sqm,"$351,700"
118A,3-Room,#01-59,01,59,available,68 Sqm,"$317,800"
118A,3-Room,#02-59,02,59,booked,,
118A,3-Room,#03-59,03,59,booked,,
118A,3-Room,#04-59,04,59,booked,,
118A,3-Room,#05-59,05,59,booked,,
118A,3-Room,#06-59,06,59,booked,,
118A,3-Room,#07-59,07,59,booked,,
118A,3-Room,#08-59,08,59,booked,,
118A,3-Room,#09-59,09,59,booked,,
118A,3-Room,#10-59,10,59,booked,,
118A,3-Room,#11-59,11,59,booked,,
118A,3-Room,#12-59,12,59,booked,,
118A,3-Room,#13-59,13,59,booked,,
118A,3-Room,#14-59,14,59,booked,,
118A,3-Room,#15-59,15,59,booked,,
118A,3-Room,#16-59,16,59,booked,,
118A,3-Room,#17-59,17,59,booked,,
118A,3-Room,#01-75,01,75,available,68 Sqm,"$324,000"
118A,3-Room,#02-75,02,75,available,68 Sqm,"$327,200"
